ELEMENTS,Location,Interval,Ba,Ce,Co,Cr,Cu,Dy,Er,Eu,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pr,Rb,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr
UNITS,,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
DETECTION,,0.01,0.1,0.01,1,2,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.05,0.01,1,0.005,0.05,0.01,1,0.01,0.005,0.01,0.01,0.01,2,0.05,0.01,1,0.1
METHOD,,/QAgrind,A/MS,A/MS,A/OES,A/OES,A/OES,A/MS,A/MS,A/MS,A/MS,A/MS,A/MS,A/MS,A/MS,A/MS,A/MS,A/OES,A/MS,A/MS,A/MS,A/OES,A/MS,A/MS,A/MS,A/MS,A/MS,A/OES,A/MS,A/MS,A/OES,A/MS
COMMENTS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE NUMBERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414001,ANT001,104.3-104.5,311.4,44.11,37,85,49,6.03,3.33,1.38,5.18,4.45,1.17,20.5,0.452,9.45,20.85,50,5.272,65.45,4.82,160,0.92,0.917,7.85,0.5,1.23,262,29.1,3.18,87,160.9
414002,ANT001,149.5-149.7,303.6,46.34,30,134,38,5.6,3.16,1.26,4.98,4.05,1.08,22.02,0.435,8.77,20.94,70,5.327,77.02,4.61,159,0.8,0.83,9.59,0.45,1.7,187,27.75,2.91,97,153
414003,ANT001,198.65-198.85,340,53.52,32,113,71,6.52,3.67,1.32,5.96,4.74,1.26,25.51,0.482,9.87,24.45,49,6.225,87.09,5.46,146,0.9,1.015,11.2,0.53,2.07,200,30.4,3.34,105,169.7
414004,ANT001,250.25-250.45,303.1,46.22,32,125,57,5.78,3.11,1.27,5.04,4.17,1.07,21.87,0.433,8.73,21.43,47,5.45,69.49,4.77,161,0.73,0.877,9.24,0.47,1.56,188,27.9,2.97,87,151.5
414005,ANT001,308.4-308.65,359.8,46.32,37,69,41,6.68,3.67,1.53,5.53,4.76,1.25,21.95,0.514,9.16,22.47,43,5.549,97.61,5.15,147,0.68,0.969,8.15,0.54,1.35,287,31.3,3.48,74,173.7
414006,ANT001,348.7-348.9,315.9,49.2,40,19,27,6.23,3.44,1.3,5.5,4.47,1.19,22.83,0.46,9.03,22.51,20,5.634,64.03,5.24,158,0.74,0.926,11.67,0.5,1.83,359,30.22,3.16,91,150.5
414007,ANT001,395.05-395.25,245.7,34.38,41,71,52,4.97,2.82,1.16,4.39,3.24,0.98,15.97,0.384,6.84,16.9,46,4.121,73.08,3.88,139,0.59,0.748,8.14,0.4,1.3,292,24.55,2.63,85,114.4
414008,ANT001,415.8-416.0,240.8,51.44,39,18,36,6.99,3.84,1.51,6.12,4.6,1.34,24.07,0.509,10.09,24.2,17,6.087,60.08,5.55,144,0.71,1.046,9.85,0.57,1.63,302,33.8,3.73,69,166.2
414009,ANT001,450.2-450.4,252,50.61,42,24,62,7.11,3.85,1.54,6.29,4.55,1.35,23.73,0.513,9.88,24.2,21,6.012,73.48,5.51,123,0.7,1.07,9.27,0.57,1.58,309,33.7,3.56,147,164.6
414010,ANT001,465.6-465.8,285.7,54.18,40,16,27,7.3,4.06,1.65,6.38,5.02,1.4,25.26,0.534,10.66,25.72,16,6.396,60.78,5.87,140,0.78,1.098,10.09,0.59,1.79,311,35.58,3.73,115,177.6
414011,ANT001,432.7-432.9,262,54.07,41,20,57,7.5,4.29,1.6,6.63,5.05,1.43,24.94,0.569,10.86,26.24,20,6.472,84.98,5.97,101,0.75,1.109,9.99,0.61,1.67,316,36.76,3.88,128,177.8
414017,ANT002,117.95-118.15,256.5,40.58,36,84,32,5.54,3.2,1.34,4.93,3.94,1.07,19.03,0.425,7.58,19.63,47,4.8,63.46,4.47,151,0.57,0.848,6.88,0.47,1.12,262,27.84,2.99,85,145.7
414018,ANT002,157.8-158.0,322.2,50.04,28,85,22,6.01,3.34,1.3,5.43,4.55,1.17,23.9,0.469,8.86,23.44,42,5.861,82.04,5.15,162,0.71,0.906,10.64,0.5,1.89,180,29.69,3.24,72,165
414019,ANT002,179.4-179.6,321,51.09,29,121,41,5.9,3.35,1.32,5.48,4.4,1.17,25.05,0.456,8.44,23.21,48,5.909,84.46,5.16,146,0.67,0.915,10.57,0.51,1.96,177,29.77,3.16,79,160.5
414020,ANT002,201.75-201.95,337.4,52.15,29,121,42,6.1,3.31,1.31,5.45,4.47,1.14,25.61,0.461,9.85,23.65,48,6.176,90.99,5.22,145,0.73,0.914,11.56,0.49,2.1,174,29.56,3.19,73,167
414021,ANT002,224.8-225.0,281,45.04,30,188,38,5.15,2.86,1.19,4.71,4.04,0.99,21.06,0.395,8.09,20.22,57,5.143,71.72,4.54,144,0.64,0.83,9.51,0.43,1.76,165,25.99,2.77,70,143.4
414022,ANT002,247.5-247.7,279.5,43.66,32,151,33,5.54,3.11,1.22,5.03,4,1.07,20.93,0.428,8.12,20.21,61,5.169,69.19,4.56,153,0.65,0.84,9.19,0.45,1.68,194,27.12,2.89,72,143.2
414023,ANT002,274.0-274.2,262.9,36.78,39,111,37,5.01,2.96,1.18,4.36,3.67,1,16.97,0.395,7.08,17.79,61,4.267,46.8,4.11,168,0.53,0.769,6.13,0.43,1,239,26.37,2.79,87,134
414024,ANT002,302.4-302.6,273.1,40.61,37,93,40,5.66,3.2,1.33,4.95,3.88,1.11,19.13,0.454,7.7,19.4,52,4.819,49.81,4.53,169,0.54,0.85,6.76,0.45,1.08,257,28.34,2.98,79,141.8
414025,ANT002,327.4-327.6,280.8,43.86,36,62,42,6.38,3.59,1.4,5.66,4.7,1.26,20.04,0.504,8.92,21.88,40,5.254,58.09,5.08,147,0.64,0.947,8.17,0.53,1.31,270,30.83,3.37,76,169.4
414026,ANT002,334.0-334.2,326.2,54.95,37,71,56,5.9,3.42,1.37,5.44,4.22,1.15,27.24,0.453,8.73,24.01,38,6.22,78.53,5.18,233,0.98,0.923,9.53,0.48,1.59,287,29.37,3.09,81,145
414027,ANT002,349.8-350.0,135.9,32.23,39,61,23,4.66,2.57,1.02,3.98,3.02,0.9,14.46,0.375,6.13,15.61,48,3.793,31.6,3.67,238,0.48,0.682,7.48,0.38,1.31,278,22.26,2.48,126,106.1
414028,ANT002,379.5-379.7,241.7,38.75,40,54,52,5.34,2.95,1.18,4.43,3.29,1.02,18.99,0.398,6.98,18.05,36,4.625,78.22,4.2,157,0.58,0.763,8.67,0.44,1.52,303,25.85,2.71,90,119.2
414029,ANT002,404.05-405.2,216.1,37.19,41,68,58,4.89,2.86,1.1,4.42,3.23,0.96,17.46,0.372,6.61,16.94,44,4.207,58.96,3.89,148,0.52,0.745,8.05,0.42,1.45,292,24.52,2.59,83,110.2
414030,ANT002,416.4-416.6,196.1,43.3,42,32,26,6.39,3.54,1.29,5.4,4.11,1.28,19.95,0.479,8.46,20.78,27,5.165,85.86,4.84,98,0.63,0.948,10.82,0.52,1.98,384,30.92,3.32,271,141.8
414031,ANT002,431.2-431.4,205.4,47.75,42,34,53,6.16,3.58,1.36,5.51,4.08,1.18,22.86,0.478,8.16,22.35,28,5.576,61.29,5,152,0.63,0.911,10.55,0.51,1.9,383,30.62,3.23,111,140.3
414032,ANT002,465.7-465.85,214.5,47.87,40,24,67,6.69,3.92,1.5,6.09,4.6,1.32,21.76,0.515,9.38,23.11,22,5.668,35.71,5.29,143,0.69,1.02,8.91,0.57,1.43,305,33.35,3.54,91,160.9
414033,ANT002,499.0-499.2,263.1,49.91,42,19,22,7.15,3.86,1.55,6.19,4.68,1.33,23.65,0.55,9.93,24.47,20,5.968,71.97,5.53,126,1.08,1.053,9.2,0.56,1.54,306,34.49,3.67,107,164.8
414034,ANT002,529.0-529.2,260.7,50.57,40,22,23,7.19,3.92,1.56,6.33,4.76,1.4,23.98,0.562,10.16,24.6,21,6.079,62.26,5.77,145,0.68,1.118,9.56,0.59,1.7,306,35.3,3.67,88,168.1
