,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
0,LITH03626751-BD001-040.00,Dacite,Rock,-30.19,121.82,365,-40.0,-40.0,Unknown,Binti Binti,,1.91,1.08,3.32,137.95,0.54,3.12,70.0,46.24,1300.0,0.68,14.6,,1.76,116.8,20.13,3.42,33.23,43.0,16.11,354.45,117.81,21.11,0.31,3.92,0.28,,,,,2.51,,,0.18,59.11,0.16,10.43,0.76,0.71,0.13,0.006328452,5.76,16.21,3.2,3.29
1,LITH03626751-KJS318-2,Basalt,Rock,-29.29,120.56,442,0.0,0.0,Unknown,Kurrajong,"Kurrajong, Walter Williams",3.69,0.87,5.12,30.75,0.76,4.71,,30.88,,1.29,5.12,839.95,2.76,223.86,,2.2,2.46,1894.0,6.76,,,78.52,0.45,1.16,,0.00666,,,0.00871,0.2,1.02,,0.007175648,50.14,0.23,14.76,0.34,1.09,0.09,0.27,8.88,7.21,0.58,16.29
4,LITH03626751-AMP-HM-120524-023A,Basalt,Rock,-21.408455,117.15948,337,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",2.32,0.82,3.76,117.56,0.57,3.63,41.25,40.63,72.20039,0.82,16.48,0.0,2.0,183.39,20.81,3.36,32.86,8.0,15.24,38.42,324.54,21.12,0.28,3.79,0.28,,3.19,21.63,,6.28,7.1,0.72,0.1,73.04,0.03,5.52,0.7,0.32,1.7,0.001205819,2.59,12.36,2.03,0.03
6,LITH03626751-AMP-HM-120529-056,Basalt,Rock,-22.647785,117.77127,805,0.0,0.0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.33,1.1,5.06,148.66,0.82,4.76,71.23,33.37,72.33004,1.18,23.84,0.0,3.1,233.31,28.39,4.77,47.79,106.0,22.81,151.65,324.37,40.6,0.48,5.86,0.42,,4.43,32.0,,7.86,9.18,0.72,0.14,55.93,0.13,10.92,0.93,0.96,0.55,0.01,7.85,16.52,1.81,4.19
9,LITH03626751-GSWA-165366,Basalt,Rock,-28.07,119.22,523,0.0,0.0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,3.01,1.27,4.88,97.84,0.86,4.96,94.34,121.75,0.0,1.04,6.82,0.0,2.54,439.17,25.48,3.8,17.97,43.0,12.74,81.84,36.4,,0.35,2.46,,0.0248,2.61,51.19,0.02341,0.68,4.55,0.22,0.14,51.44,0.1,5.64,1.27,1.32,0.06,0.006318899,10.68,15.26,4.93,9.09
10,LITH03626751-GSWA-165390,Basalt,Rock,-28.17,119.48,472,0.0,0.0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,2.09,0.87,3.54,62.36,0.6,3.3,73.79,119.8,95.84387,0.72,4.12,0.0,1.96,306.61,20.26,2.31,10.8,792.0,8.14,99.78,78.99,,0.25,1.49,,0.00072,1.76,41.57,0.00103,0.41,3.11,0.1,0.08,52.83,0.16,9.52,1.0,1.22,0.14,0.11,9.9,11.53,3.46,9.97
14,LITH03626751-HWD03-300.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,45.0,25.0,3700.0,,,3501.15,,,,,,1653.0,,,,,,,,,,,,,,,0.0,43.24,0.19,6.9,0.06,0.07,0.01,0.24,3.13,1.22,0.01,44.57
16,LITH03626751-r081-45.60-45.80,Andesite,Rock,0.06766246,22.542393,474,-46.0,-46.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,172.1,,,142.21,79.42,300.0,,,,,306.07,26.79,,,101.0,,121.6,66.98,40.22,,,,,,,,,,,0.26,51.79,0.24,7.76,2.28,1.57,0.21,0.01,12.74,13.22,4.66,5.2
18,LITH03626751-HWD38-240.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,389.0,7700.0,,,4358.24,,,,,,1658.0,,,,,,,,,,,,,,,0.0,40.25,0.03,0.15,0.04,0.0,0.01,0.24,4.67,0.65,0.06,52.99
23,LITH03626751-r083-23.70-23.85,Basalt,Rock,0.06766165,22.54239,474,-24.0,-24.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,175.58,,,177.65,70.34,100.0,,,,,334.64,26.85,,,137.0,,181.78,2.06,40.34,,,,,,,,,,,0.24,50.11,0.24,8.48,2.35,1.57,0.35,0.02,12.77,13.61,4.13,6.09
