sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-BD001-040.00,Dacite,Rock,-30.19,121.82,365,-40,-40,Unknown,Binti Binti,,1.91,1.08,3.32,137.95,0.54,3.12,70,46.24,1300,0.68,14.6,,1.76,116.8,20.13,3.42,33.23,43,16.11,354.45,117.81,21.11,0.31,3.92,0.28,,,,,2.51,,,0.18,59.11,0.16,10.43,0.76,0.71,0.13,0.006328452,5.76,16.21,3.2,3.29
LITH03626751-KJS318-2,Basalt,Rock,-29.29,120.56,442,0,0,Unknown,Kurrajong,"Kurrajong, Walter Williams",3.69,0.87,5.12,30.75,0.76,4.71,,30.88,,1.29,5.12,839.95,2.76,223.86,,2.2,2.46,1894,6.76,,,78.52,0.45,1.16,,0.00666,,,0.00871,0.2,1.02,,0.007175648,50.14,0.23,14.76,0.34,1.09,0.09,0.27,8.88,7.21,0.58,16.29
LITH03626751-BSD089-206.50,Dacite,Rock,-30.39,121.64,374,-206,-206,Unknown,Black Swan,"Cygnet-Black Swan gap, upper felsics",0.53,0.98,1.55,118.1,0.3,2.52,54,19.29,700,0.24,23.62,,0.51,62.27,10.73,3.22,46.16,26,18.78,188.97,533.63,16.07,0.08,5.04,0.07,,,,,3.54,,,0.21,64.97,0.02,3.13,0.62,0.31,2.92,,2.56,18.84,4.1,2.27
LITH03626751-EG 4560,Dolerite,Rock,-30.78,121.51,280,-630,-630,Unknown,Golden Mile Dolerite,unit6,2.27,0.8,3.63,41.01,0.57,2.91,83.56,337.22,1500,0.7,2.63,,2.06,1321.69,20.34,1.97,7.58,,5.82,116.55,34.85,77.64,0.31,1.18,0.35,,1.31,,,0.32,1.97,0.21,0.06,51.05,0.17,8.26,1.83,1.83,0.37,,14.83,12.94,2.43,6.17
LITH03626751-AMP-HM-120524-023A,Basalt,Rock,-21.408455,117.15948,337,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",2.32,0.82,3.76,117.56,0.57,3.63,41.25,40.63,72.20039,0.82,16.48,0,2,183.39,20.81,3.36,32.86,8,15.24,38.42,324.54,21.12,0.28,3.79,0.28,,3.19,21.63,,6.28,7.1,0.72,0.1,73.04,0.03,5.52,0.7,0.32,1.7,0.001205819,2.59,12.36,2.03,0.03
LITH03626751-NID7-206.2,Basalt,Rock,-32.53,119.74,389,0,0,Unknown,North Ironcap,,1.7,0.9,3.3,52,0.5,2.9,113,,100,0.7,3.9,674.85,1.6,212,14,2.2,10.2,1314,6.8,154,238,88,0.3,1.5,0.2,,,,,0.6,,,,52.68,0.32,10.96,0.74,1.29,0.6,0.19,10.52,7.83,0.34,14.41
LITH03626751-AMP-HM-120529-056,Basalt,Rock,-22.647785,117.77127,805,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.33,1.1,5.06,148.66,0.82,4.76,71.23,33.37,72.33004,1.18,23.84,0,3.1,233.31,28.39,4.77,47.79,106,22.81,151.65,324.37,40.6,0.48,5.86,0.42,,4.43,32,,7.86,9.18,0.72,0.14,55.93,0.13,10.92,0.93,0.96,0.55,0.01,7.85,16.52,1.81,4.19
LITH03626751-EG 4564,Dolerite,Rock,-30.78,121.51,280,-661,-661,Unknown,Golden Mile Dolerite,unit7,2.12,0.72,3.45,40.52,0.5,2.6,77.03,187.85,1600,0.68,2.21,,2.02,1196.66,19.83,2.11,6.85,,5.8,141.61,6.54,80.13,0.3,1.11,0.31,,1.37,,,0.31,1.89,0.1,0.06,48.11,0.22,9.52,2.13,2.04,0.04,,16.57,13.5,1.56,6.2
LITH03626751-W3-946,Basalt,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,24,,,69,130,4100,,,414.12,,187,8,,,835,,136,65,67,,,,,,,,,,,,52.63,0.19,10.3,0.36,0.93,0.42,0.12,7.59,15.22,0.98,11.41
LITH03626751-GSWA-165366,Basalt,Rock,-28.07,119.22,523,0,0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,3.01,1.27,4.88,97.84,0.86,4.96,94.34,121.75,0,1.04,6.82,0,2.54,439.17,25.48,3.8,17.97,43,12.74,81.84,36.4,,0.35,2.46,,0.0248,2.61,51.19,0.02341,0.68,4.55,0.22,0.14,51.44,0.1,5.64,1.27,1.32,0.06,0.006318899,10.68,15.26,4.93,9.09
LITH03626751-GSWA-165390,Basalt,Rock,-28.17,119.48,472,0,0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,2.09,0.87,3.54,62.36,0.6,3.3,73.79,119.8,95.84387,0.72,4.12,0,1.96,306.61,20.26,2.31,10.8,792,8.14,99.78,78.99,,0.25,1.49,,0.00072,1.76,41.57,0.00103,0.41,3.11,0.1,0.08,52.83,0.16,9.52,1,1.22,0.14,0.11,9.9,11.53,3.46,9.97
LITH03626751-BSD063-669.90,Dacite,Rock,-30.39,121.64,374,-670,-670,Unknown,Black Swan,"Silver Swan, lower felsics",,,,135.51,,,34,45.18,,,,,,121.19,12.11,,,7,,424.18,170.77,13.22,,,,,,,,,,,0.22,68.87,0.07,5.94,0.65,0.35,0.45,,2.91,15.68,1.82,2.97
LITH03626751-ELD001-357.15,Dacite,Rock,-30.28,121.95,429,-357,-357,Unknown,Emu Lake,SIR SAMUEL MINES NL,,,,193.68,,,34,3.04,,,,,,14.19,21.29,,,3,,643.92,750.39,8.11,,,,,,,,,,,0.21,66.25,0.08,4,0.73,0.58,0.74,,4.72,15.02,6.43,1.18
LITH03626751-BSD037G-555.00,Dacite,Rock,-30.39,121.63,376,-555,-555,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.06,2.6,2.92,193.98,0.62,6.06,98,6.46,1900,0.43,82.36,,0.91,63.93,16.25,9.97,157.13,,65.02,2456.75,4623.07,8.62,0.14,18.42,0.14,,,,,14.08,,,0.33,64.35,0.08,4.23,0.65,0.41,2.15,,3.38,17.32,5.66,1.36
LITH03626751-HWD03-300.40,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,45,25,3700,,,3501.15,,,,,,1653,,,,,,,,,,,,,,,0,43.24,0.19,6.9,0.06,0.07,0.01,0.24,3.13,1.22,0.01,44.57
LITH03626751-BSD046-257.00,Dacite,Rock,-30.38,121.64,376,-257,-257,Unknown,Black Swan,"North of SS, lower felsics",,,,128.19,,,9,9.86,,,,,,67.93,12.05,,,32,,279.4,118.33,5.47,,,,,,,,,,,0.09,68.48,0.02,7.03,0.59,0.18,0.87,,1.53,15,4.19,1.96
LITH03626751-r081-45.60-45.80,Andesite,Rock,0.06766246,22.542393,474,-46,-46,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,172.1,,,142.21,79.42,300,,,,,306.07,26.79,,,101,,121.6,66.98,40.22,,,,,,,,,,,0.26,51.79,0.24,7.76,2.28,1.57,0.21,0.01,12.74,13.22,4.66,5.2
LITH03626751-EG 4536,Dolerite,Rock,-30.78,121.51,280,-595,-595,Unknown,Golden Mile Dolerite,unit6,2.14,0.69,3.61,44.49,0.54,2.82,65.53,363.54,800,0.73,2.85,,2.07,1033.69,20.71,2.21,7.71,,6.13,116.58,10.88,71.77,0.28,1.21,0.32,,1.47,,,0.21,2,0.1,0.06,50.01,0.2,9.25,1.64,1.8,0.05,,14.6,12.84,2.38,7.11
LITH03626751-HWD38-240.80,Basalt,Rock,-26.88,120.35,501,0,0,Unknown,Honeymoon Well,West side min flows,,,,,,,,389,7700,,,4358.24,,,,,,1658,,,,,,,,,,,,,,,0,40.25,0.03,0.15,0.04,0,0.01,0.24,4.67,0.65,0.06,52.99
LITH03626751-EG 4622,Dolerite,Rock,-30.78,121.51,280,-450,-450,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",1.99,0.6,2.89,38.86,0.47,2.46,116.16,382.99,600,0.62,2.82,,1.93,1075.86,17.8,1.62,6.83,,5.86,108.78,10.74,70.24,0.24,1.06,0.3,,1.41,,,0.21,1.84,0.1,0.07,48.61,0.21,10.36,1.67,1.85,0.05,,15.01,13.12,2.26,6.73
LITH03626751-EG 4649,Dolerite,Rock,-30.78,121.51,280,-650,-650,Unknown,Golden Mile Dolerite,"unit7, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",3.22,0.99,5.05,69.38,0.79,3.9,107.98,60.54,4800,1.01,3.9,,3.17,174.61,28.83,2.87,11.02,23,9.41,127.74,112.34,83.79,0.43,1.72,0.48,,2.29,,,0.57,3.21,0.22,0.1,47.58,0.28,8.21,3.84,2.24,0.71,,18.17,11.99,2.55,4.29
LITH03626751-EG 4628,Dolerite,Rock,-30.78,121.51,280,-452,-452,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",2,0.57,3.12,40.83,0.55,2.43,135.76,414.07,1000,0.61,2.82,,1.99,1125.2,18.78,1.73,7.16,,5.86,104.48,20.96,72.89,0.27,1.09,0.3,,1.52,,,0.21,1.73,0.1,0.06,49.07,0.19,8.68,1.77,1.87,0.14,,15.21,13.64,2.57,6.75
LITH03626751-AMP-HM-120522-010C,Basalt,Rock,-22.785954,117.494606,490,0,0,Unknown,Rocklea Dome North,"South of Tom Price Syncline, South Hamersley Basin",3.1,1.53,3.75,523.88,0.52,2.98,12.25,39.74,30.64941,0.91,10.41,0,3.55,26.55,23.38,2.62,19.6,,10.62,102.53,45.03,8.17,0.65,2.49,0.52,,15.11,,,11.9,16.95,1.53,0.06,73.82,0.05,9.26,0.46,0.48,0.08,,3.93,10.64,0.13,1.05
